,urunKod,urunAdı,listeFiyatı,kdvOran,marka,kategori,menşei,created_id
477,478,BAHÇIVAN HELLİM PEYNİRİ 250 GR ,6.95,0.08,Bahçıvan,Peynir,Türkiye,2020-01-01
478,479,BAHÇIVAN LEZZETLİ PEYNİR MİXİ 200 G ,7.45,0.08,Bahçıvan,Peynir,Türkiye,2020-01-01
479,480,BAHÇIVAN LEZZETLİ PEYNİR TOPLARI KG ,29.9,0.08,Bahçıvan,Peynir,Türkiye,2020-01-01
480,481,BAHÇIVAN SUDA TOP MOZZARELLA PEYNİRİ 125 GR ,6.45,0.08,Bahçıvan,Peynir,Türkiye,2020-01-01
481,482,BALTALI %100 KEÇİ BÜŞ PEYNİR 200 GR ,14.95,0.08,baltalı,Peynir,Türkiye,2020-01-01
482,483,BALTALI %100 KEÇİ BÜŞ PEYNİR KG ,65.9,0.08,baltalı,Peynir,Türkiye,2020-01-01
483,484,BERGEN KARS GRAVYER PEYNİRİ KG ,55.9,0.08,bergen,Peynir,Türkiye,2020-01-01
484,485,BIONES DILIMLI EDAM PEYNIRI 100 G ,8.9,0.08,biones,Peynir,Hollanda,2020-01-01
485,486,BIONES DILIMLI GOUDA PEYNIRI 100 G ,8.9,0.08,biones,Peynir,Hollanda,2020-01-01
486,487,BIONES DILIMLI MAASDAM PEYNIRI 100 G ,8.9,0.08,biones,Peynir,Hollanda,2020-01-01
487,488,BLUE HEAVEN DANISH BLUE CHEESE 225 GR ,23.9,0.08,blue heaven,Peynir,Hollanda,2020-01-01
488,489,BONUS BLUE CHEESE 100 GR ,15.45,0.08,Bonus,Peynir,Hollanda,2020-01-01
489,490,BONUS BLUE CHEESE 250 GR ,28.5,0.08,Bonus,Peynir,Hollanda,2020-01-01
490,491,BONUS PARMESAN 200 GR ,28.5,0.08,Bonus,Peynir,Hollanda,2020-01-01
491,492,BONUS SÜRK PEYNİRİ KG ,26.95,0.08,Bonus,Peynir,Hollanda,2020-01-01
492,493,BONUS TOZ PARMESAN 100 GR ,15.25,0.08,Bonus,Peynir,Hollanda,2020-01-01
493,494,CAPRICHO DE CABRA TAM YAĞL TAZE KEÇI PEYNIRI 145 GR ,19.9,0.08,Bonus,Peynir,Hollanda,2020-01-01
494,495,CASTELLİ GRANO PADANO PARMESAN KG ,99.9,0.08,castelli,Peynir,Türkiye,2020-01-01
495,496,CASTELLİ PARMESAN 200 GR ,22.9,0.08,castelli,Peynir,Türkiye,2020-01-01
496,497,CASTELLİ TOZ PARMESAN 80 GR ,10.75,0.08,castelli,Peynir,Türkiye,2020-01-01
497,498,CİBUS EMMENTAL 220G. ,27.9,0.08,cibus,Peynir,Türkiye,2020-01-01
498,499,CİHANSER HELLİM PEYNİRİ KG ,23.9,0.08,cihanser,Peynir,Türkiye,2020-01-01
499,500,CİHANSER KARS GRAVYER PEYNİRİ 200 GR ,11.95,0.08,cihanser,Peynir,Türkiye,2020-01-01
500,501,ELTA ADA ORGANİK DİL PEYNİRİ 300 G ,17.9,0.08,elta ada,Peynir,Türkiye,2020-01-01
501,502,EMBORG TAM YAĞLI TAZE BRIE PEYNİRİ 125 G ,24.9,0.08,emborg,Peynir,Türkiye,2020-01-01
502,503,EMBORG TAM YAĞLI TAZE CAMEMBERT PEYNİRİ 125 G ,24.9,0.08,emborg,Peynir,Türkiye,2020-01-01
503,504,G. COLOMBO PROVOLONE PEYNİRİ 200 G ,35.9,0.08,GC,Peynir,Türkiye,2020-01-01
504,505,G.C. EDAM 230 GR ,23.9,0.08,GC,Peynir,Türkiye,2020-01-01
505,506,G.C. FÜME PEYNİR 220 GR ,21.5,0.08,GC,Peynir,Türkiye,2020-01-01
506,507,G.C. HOLLANDA EDAM PEYNİRİ KG ,69.0,0.08,GC,Peynir,Türkiye,2020-01-01
507,508,G.C. HOLLANDA GOUDA PEYNIRI KG ,67.9,0.08,GC,Peynir,Türkiye,2020-01-01
508,509,G.C. MAASDAM 350 GR ,27.5,0.08,GC,Peynir,Türkiye,2020-01-01
509,510,G.C. SADE GOUDA 220 GR ,21.5,0.08,GC,Peynir,Türkiye,2020-01-01
510,511,GC ORIGINAL GOUDA JALAPENO 220 G ,24.9,0.08,GC,Peynir,Türkiye,2020-01-01
511,512,GC ORIGINAL GOUDA PESTO 220 G ,24.9,0.08,GC,Peynir,Türkiye,2020-01-01
512,513,GC ORIGINAL GOUDA TRUFF MANTARLI 200 G ,24.9,0.08,GC,Peynir,Türkiye,2020-01-01
513,514,GIOVANNI COLOMBO PECORINO SIRBONE 200 GR ,42.5,0.08,GC,Peynir,Türkiye,2020-01-01
514,515,İÇİM DİL PEYNİRİ 300 GR ,11.45,0.08,İçim,Peynir,Türkiye,2020-01-01
515,516,KARLIDAĞ ANTEP PEYNİRİ KG ,16.9,0.08,Karlıdağ,Peynir,Türkiye,2020-01-01
516,517,KECHEESE KEÇİ LOR PEYNİRİ 400 GR ,5.75,0.08,Kecheese,Peynir,Türkiye,2020-01-01
517,518,KECHEESE TAM YAĞLI TAZE PEYNİR KG ,29.9,0.08,Kecheese,Peynir,Türkiye,2020-01-01
518,519,KERRYGOLD CHEDDAR 150 GR ,19.9,0.08,Kerrygold,Peynir,İrlanda,2020-01-01
519,520,KERRYGOLD CHEDDAR 200 GR ,28.9,0.08,Kerrygold,Peynir,İrlanda,2020-01-01
520,521,KERRYGOLD TAM YAĞLI OLGUNLAŞTIRILMIŞ CHEDDAR 200 G ,26.9,0.08,Kerrygold,Peynir,İrlanda,2020-01-01
521,522,KERVAN KAŞAR LORU KG ,9.45,0.08,Kervan,Peynir,Türkiye,2020-01-01
522,523,LENTE CHEESE  DANİSH BLUE  100 G ,11.9,0.08,lente,Peynir,Türkiye,2020-01-01
523,524,LENTE İSLİ ÇERKEZ PEYNİRİ CEVİZLİ KG ,32.95,0.08,lente,Peynir,Türkiye,2020-01-01
524,525,MURATBEY ANADOLU LEZZETLERİ 250 GR ,9.95,0.08,Muratbey,Peynir,Türkiye,2020-01-01
525,526,MURATBEY BURGU PEYNİR KG ,29.9,0.08,Muratbey,Peynir,Türkiye,2020-01-01
526,527,MURATBEY BURGU PEYNİRİ 200 GR ,5.56,0.08,Muratbey,Peynir,Türkiye,2020-01-01
527,528,MURATBEY DİLİMLİ HELLİM PEYNİRİ 250 GR ,9.5,0.08,Muratbey,Peynir,Türkiye,2020-01-01
528,529,MURATBEY KAŞKAVAL PEYNİRİ 400 GR ,14.9,0.08,Muratbey,Peynir,Türkiye,2020-01-01
529,530,MURATBEY TEL PEYNİRİ 250 GR ,9.5,0.08,Muratbey,Peynir,Türkiye,2020-01-01
530,531,MURATBEY TEL PEYNİRİ KG ,31.9,0.08,Muratbey,Peynir,Türkiye,2020-01-01
531,532,MURATBEY TOPİ T.Y BEYAZ PEYNİR KG ,29.9,0.08,Muratbey,Peynir,Türkiye,2020-01-01
532,533,MURATBEY ÇERKEZ PEYNİRİ 400 GR ,13.9,0.08,Muratbey,Peynir,Türkiye,2020-01-01
533,534,MİGROS SÜZME PEYNİR 500 GR ,6.25,0.08,migros,Peynir,Türkiye,2020-01-01
534,535,ONUR BÖREKLİK LOR PEYNİRİ KG ,4.99,0.08,Onur,Peynir,Türkiye,2020-01-01
535,536,PEYSAN DİL PEYNİRİ KG ,37.9,0.08,Peysan,Peynir,Türkiye,2020-01-01
536,537,PEYSAN SUDA MOZARELLA KG ,39.9,0.08,peysan,Peynir,Türkiye,2020-01-01
537,538,PINAFORE ROKFOR 100 GR ,11.9,0.08,Pınafore,Peynir,Türkiye,2020-01-01
538,539,PINAFORE ROKFOR 225 GR ,18.9,0.08,Pınafore,Peynir,Türkiye,2020-01-01
539,540,PINAR CHEDDAR 20 G ,1.0,0.08,Pınar,Peynir,Türkiye,2020-01-01
540,541,PINAR DİL PEYNİRİ 20 G ,1.0,0.08,Pınar,Peynir,Türkiye,2020-01-01
541,542,PINAR HELLİM PEYNİRİ 250 GR ,9.9,0.08,Pınar,Peynir,Türkiye,2020-01-01
542,543,PRESIDENT COMTE PEYNİR 200 GR ,53.95,0.08,President,Peynir,Türkiye,2020-01-01
543,544,SEK DİL PEYNİRİ 250 GR ,8.75,0.08,Sek,Peynir,Türkiye,2020-01-01
544,545,SEK EDAM 200 GR ,13.95,0.08,Sek,Peynir,Türkiye,2020-01-01
545,546,SEK GOUDA 200 GR ,13.95,0.08,Sek,Peynir,Türkiye,2020-01-01
546,547,SEK MIMOLETTE 200 GR ,13.95,0.08,Sek,Peynir,Türkiye,2020-01-01
547,548,SEK PARMESAN 200 GR ,17.5,0.08,Sek,Peynir,Türkiye,2020-01-01
548,549,SEK QUARK ANANAS 150 G ,2.45,0.08,Sek,Yogurt,Türkiye,2020-01-01
549,550,SEK QUARK ARMUTLU 150 GR ,2.45,0.08,Sek,Yogurt,Türkiye,2020-01-01
550,551,SEK QUARK ELMALI TARÇINLI 150 GR ,2.45,0.08,Sek,Yogurt,Türkiye,2020-01-01
551,552,SEK QUARK SADE 150 GR ,2.45,0.08,Sek,Yogurt,Türkiye,2020-01-01
552,553,SEK QUARK YABAN MERSİNLİ 150 GR ,2.45,0.08,Sek,Yogurt,Türkiye,2020-01-01
553,554,SEK QUARK ÇİLEKLİ 150 GR ,2.45,0.08,Sek,Yogurt,Türkiye,2020-01-01
554,555,SEK QUARK ŞEFTALİLİ 150 GR ,2.45,0.08,Sek,Yogurt,Türkiye,2020-01-01
555,556,SÜTAŞ MİHALİÇ PEYNİRİ 350 GR ,13.95,0.08,Sütaş,Peynir,Türkiye,2020-01-01
556,557,TACİROĞLU KAŞKAVAL PEYNİRİ KG ,38.9,0.08,Taciroğlu,Peynir,Türkiye,2020-01-01
557,558,TAHSİLDAROĞLU DİL PEYNİRİ 250 GR ,9.75,0.08,Tahsildaroğlu,Peynir,Türkiye,2020-01-01
558,559,TAHSİLDAROĞLU KAHVALTILIK LOR 300 GR ,4.9,0.08,Tahsildaroğlu,Peynir,Türkiye,2020-01-01
559,560,TAHSİLDAROĞLU SÜT DAMLASI TAM YAĞLI TAZE PEYN 200 G ,7.99,0.08,Tahsildaroğlu,Peynir,Türkiye,2020-01-01
560,561,TAHSİLDAROĞLU TORBA LOR PEYNİRİ 350 GR ,3.75,0.08,Tahsildaroğlu,Peynir,Türkiye,2020-01-01
561,562,TAHSİLDAROĞLU ÇEÇİL PEYNİRİ 225 G ,9.75,0.08,Tahsildaroğlu,Peynir,Türkiye,2020-01-01
562,563,TAHSİLDAROĞLU ÖRGÜ PEYNİRİ 225 G ,9.75,0.08,Tahsildaroğlu,Peynir,Türkiye,2020-01-01
563,564,TRAKYA ÇİFTLİĞİ FÜME PEYNİR 5X20 GR ,7.9,0.08,Trakya Çiftliği,Peynir,Türkiye,2020-01-01
564,565,TRAKYA ÇİFTLİĞİ KEÇİ PEYNİRİ KG ,42.9,0.08,Trakya Çiftliği,Peynir,Türkiye,2020-01-01
565,566,TRAKYA ÇİFTLİĞİ MASCARPONE 350 GR ,21.5,0.08,Trakya Çiftliği,Peynir,Türkiye,2020-01-01
566,567,TRAKYA ÇİFTLİĞİ RICOTTA 350 GR ,15.9,0.08,Trakya Çiftliği,Peynir,Türkiye,2020-01-01
567,568,ÜNAL SADE SEPET PEYNİRİ KG ,32.9,0.08,Ünal,Peynir,Türkiye,2020-01-01
568,569,ÜNAL TAZE  LOR PEYNİRİ KG ,13.9,0.08,Ünal,Peynir,Türkiye,2020-01-01
569,570,ÜNAL ÇEÇİL PEYNİRİ KG ,30.9,0.08,Ünal,Peynir,Türkiye,2020-01-01
570,571,ÜNAL ÇİFTLİĞİ MANYAS PEYNİRİ AZ TUZLU KG ,35.9,0.08,Ünal,Peynir,Türkiye,2020-01-01
571,572,ÜNAL ÇİFTLİĞİ MANYAS PEYNİRİ KG ( ESKİ KELLE ) ,35.9,0.08,Ünal,Peynir,Türkiye,2020-01-01
572,573,ÜNAL ÖRGÜ PEYNİRİ KG ,30.9,0.08,Ünal,Peynir,Türkiye,2020-01-01
573,574,ÜNAL İSLİ ÇERKEZ PEYNİRİ KG ,35.9,0.08,Ünal,Peynir,Türkiye,2020-01-01
574,575,ÜÇYILDIZ DİL PEYNİRİ KG ,30.9,0.08,Üçyıldız,Peynir,Türkiye,2020-01-01
575,576,ÜÇYILDIZ KAYMAKLI LOR PEYNİRİ KG ,12.45,0.08,Üçyıldız,Peynir,Türkiye,2020-01-01
576,577,ÜÇYILDIZ ÇEÇİL PEYNİRİ KG ,25.9,0.08,Üçyıldız,Peynir,Türkiye,2020-01-01
577,578,VEGAN CEVİZLİ 100 G ,5.0,0.08,Pınar,Pizza,Türkiye,2020-01-01
578,579,VEGAN PİZZA 400 GR ,14.45,0.08,Pınar,Pizza,Türkiye,2020-01-01
579,580,VEGAN SADE 100 GR ,5.0,0.08,Pınar,Pizza,Türkiye,2020-01-01
580,581,VEGAN SADE TOST 100 GR ,5.0,0.08,Pınar,Pizza,Türkiye,2020-01-01
581,582,VEGGY TOFU 300 G ,11.95,0.08,Pınar,Pizza,Türkiye,2020-01-01
582,583,YÖRSAN TAM YAĞLI ÜÇGEN BEYAZ PEYNİR 500 G ,14.25,0.08,Yörsan,Peynir,Türkiye,2020-01-01
583,584,YÖRSAN TÜTSÜLENMIŞ PEYNİR 300 G ,11.5,0.08,Yörsan,Peynir,Türkiye,2020-01-01
584,585,BALTALI KEÇİ TEREYAĞI 200 GR ,12.9,0.08,Baltalı,Tereyağı,Türkiye,2020-01-01
585,586,CİBUS MANDA TEREYAĞI 150 G ,12.9,0.08,Cibus,Tereyağı,Türkiye,2020-01-01
586,587,ELLE VİRE REJİM TEREYAĞ ( 41 ) 250 GR ,17.9,0.08,elle vire,Tereyağı,Fransa,2020-01-01
587,588,ELLE VİRE TEREYAĞI 200 GR ,9.95,0.08,elle vire,Tereyağı,Fransa,2020-01-01
588,589,ELLE VİRE TUZLU TEREYAĞI 200 GR ,9.95,0.08,elle vire,Tereyağı,Fransa,2020-01-01
589,590,ELTA ADA ORGANİK TEREYAĞI 200 GR ,11.9,0.08,elta ada,Tereyağı,Fransa,2020-01-01
590,591,İÇİM KOZALAK TEREYAĞI 250 GR ,8.95,0.08,İçim,Tereyağı,Türkiye,2020-01-01
591,592,İÇİM KOZALAK TEREYAĞI 500 GR ,17.45,0.08,İçim,Tereyağı,Türkiye,2020-01-01
592,593,İÇİM TEREYAĞI 1 KG ,33.95,0.08,İçim,Tereyağı,Türkiye,2020-01-01
593,594,İÇİM TEREYAĞI 500 GR ,17.45,0.08,İçim,Tereyağı,Türkiye,2020-01-01
594,595,KARLIDAĞ MALATYA TEREYAĞI TUZLU KG ,28.5,0.08,Karlıdağ,Tereyağı,Türkiye,2020-01-01
595,596,KARLIDAĞ SUDA KÖYLÜM TEREYAĞI 300 GR ,11.9,0.08,Karlıdağ,Tereyağı,Türkiye,2020-01-01
596,597,KARLIDAĞ SUDA KÖYLÜM TEREYAĞI KG ,34.9,0.08,Karlıdağ,Tereyağı,Türkiye,2020-01-01
597,598,KEBİR TEREYAĞI KG ,30.9,0.08,Kebir,Tereyağı,Türkiye,2020-01-01
598,599,KEBİR TUZSUZ TEREYAĞI 1 KG ,31.5,0.08,Kebir,Tereyağı,Türkiye,2020-01-01
599,600,KEÇİCİ KEÇİ TEREYAĞI 250 GR ,14.9,0.08,Keçici,Tereyağı,Türkiye,2020-01-01
600,601,LURPAK SÜRÜLEBİLİR TUZLU TEREYAĞI 250 GR ,20.9,0.08,Lurpak,Tereyağı,Türkiye,2020-01-01
601,602,LURPAK SÜRÜLEBİLİR TUZSUZ TEREYAĞI 250 GR ,20.9,0.08,Lurpak,Tereyağı,Türkiye,2020-01-01
602,603,M LIFE ORGANİK TEREYAĞI 250 GR ,14.95,0.08,MLife,Tereyağı,Türkiye,2020-01-01
603,604,MİGROS TEREYAĞI 1000 G ,22.95,0.08,migros,Tereyağı,Türkiye,2020-01-01
604,605,MİGROS TEREYAĞI 250 G ,5.95,0.08,migros,Tereyağı,Türkiye,2020-01-01
605,606,MİGROS TEREYAĞI 500 G ,11.9,0.08,migros,Tereyağı,Türkiye,2020-01-01
606,607,PINAR GELENEKSEL TEREYAĞI 250 GR ,10.95,0.08,Pınar,Tereyağı,Türkiye,2020-01-01
607,608,PINAR GELENEKSEL TEREYAĞI 500 GR ,19.95,0.08,Pınar,Tereyağı,Türkiye,2020-01-01
608,609,PINAR ORGANİK TEREYAĞ 150 G ,9.95,0.08,Pınar,Tereyağı,Türkiye,2020-01-01
609,610,PINAR TEREYAĞI 1 KG ,38.9,0.08,Pınar,Tereyağı,Türkiye,2020-01-01
610,611,PINAR TEREYAĞI 125 GR ,6.25,0.08,Pınar,Tereyağı,Türkiye,2020-01-01
611,612,PINAR TEREYAĞI 250 GR ,10.95,0.08,Pınar,Tereyağı,Türkiye,2020-01-01
612,613,PINAR TEREYAĞI FOLYO 500 G ,19.95,0.08,Pınar,Tereyağı,Türkiye,2020-01-01
613,614,SEK KASE TEREYAĞI 125 GR ,4.95,0.08,Sek,Tereyağı,Türkiye,2020-01-01
614,615,SEK KÖY TEREYAĞI 250 GR ,9.25,0.08,Sek,Tereyağı,Türkiye,2020-01-01
615,616,SEK TEREYAĞI 1 KG ,32.9,0.08,Sek,Tereyağı,Türkiye,2020-01-01
616,617,SEK TEREYAĞI 250 GR ,6.5,0.08,Sek,Tereyağı,Türkiye,2020-01-01
617,618,SEK TEREYAĞI 500 GR ,17.45,0.08,Sek,Tereyağı,Türkiye,2020-01-01
618,619,SEK ÇİFTLİK TEREYAĞI 250 G ,13.9,0.08,Sek,Tereyağı,Türkiye,2020-01-01
619,620,SÜTAŞ GELENEKSEL TEREYAĞI 250 GR ,9.9,0.08,Sütaş,Tereyağı,Türkiye,2020-01-01
620,621,SÜTAŞ GELENEKSEL TEREYAĞI 500 GR ,15.45,0.08,Sütaş,Tereyağı,Türkiye,2020-01-01
621,622,SÜTAŞ TEREYAĞI 1 KG ,36.5,0.08,Sütaş,Tereyağı,Türkiye,2020-01-01
622,623,SÜTAŞ TEREYAĞI 125 GR ,4.95,0.08,Sütaş,Tereyağı,Türkiye,2020-01-01
623,624,SÜTAŞ TEREYAĞI 250 GR ,9.9,0.08,Sütaş,Tereyağı,Türkiye,2020-01-01
624,625,SÜTTERA PARMAK TEREYAĞI 300 G ,11.9,0.08,süttera,Tereyağı,Türkiye,2020-01-01
625,626,TAHSİLDAROĞLU DİLİMLİ TEREYAĞI 450 GR ,14.5,0.08,Tahsildaroğlu,Tereyağı,Türkiye,2020-01-01
626,627,TAHSİLDAROĞLU KAHVALTILIK TEREYAĞI 250 GR ,9.9,0.08,Tahsildaroğlu,Tereyağı,Türkiye,2020-01-01
627,628,TORKU TEREYAĞ 1 KG ,32.95,0.08,Torku,Tereyağı,Türkiye,2020-01-01
628,629,TORKU TEREYAĞ 500 G ,16.95,0.08,Torku,Tereyağı,Türkiye,2020-01-01
629,630,TİRE TUZLU TEREYAĞ 900 G ,26.9,0.08,Torku,Tereyağı,Türkiye,2020-01-01
630,631,BECEL KASE MARGARİN KLASİK 250 GR ,2.8,0.08,Becel,Yağ,Türkiye,2020-01-01
631,632,BECEL KASE MARGARİN KLASİK 500 GR ,5.45,0.08,Becel,Yağ,Türkiye,2020-01-01
632,633,BECEL KASE MARGARİN TEREYAĞ KEYFİ 250 GR ,2.8,0.08,Becel,Yağ,Türkiye,2020-01-01
633,634,BECEL KASE MARGARİN TEREYAĞ KEYFİ 500 GR ,5.45,0.08,Becel,Yağ,Türkiye,2020-01-01
634,635,BECEL KASE MARGARİN ZEYTİNYAĞLI 250 GR ,2.8,0.08,Becel,Yağ,Türkiye,2020-01-01
635,636,BECEL KASE MARGARİN ZEYTİNYAĞLI 500 GR ,5.45,0.08,Becel,Yağ,Türkiye,2020-01-01
636,637,BIZIM PAKET MARGARIN 6X250 G ,9.95,0.08,Bizim,Yağ,Türkiye,2020-01-01
637,638,BİZİM KASE MARGARİN 250 GR ,2.95,0.08,Bizim,Yağ,Türkiye,2020-01-01
638,639,BİZİM PAKET MARGARİN 250 GR ,1.7,0.08,Bizim,Yağ,Türkiye,2020-01-01
639,640,BİZİM PAKET MARGARİN 6X250 GR (BİZİM MUTFAK UN 1 KG HEDİYELİ PAKET) ,12.9,0.08,Bizim,Yağ,Türkiye,2020-01-01
640,641,HÜNER MARGARİN 250 GR ,2.8,0.08,Hüner,Yağ,Türkiye,2020-01-01
641,642,LUNA ZEYTİNYAĞLI KASE MARGARİN 500 GR ,5.25,0.08,Luna,Yağ,Türkiye,2020-01-01
642,643,LURPAK SÜRÜLEBİLİR TUZLU TEREYAĞI 250 GR ,20.9,0.08,Lurpak,Yağ,Türkiye,2020-01-01
643,644,LURPAK SÜRÜLEBİLİR TUZSUZ TEREYAĞI 250 GR ,20.9,0.08,Lurpak,Yağ,Türkiye,2020-01-01
644,645,SABAH MARGARİN 250 GR ,1.2,0.08,Sabah,Yağ,Türkiye,2020-01-01
645,646,SANA KASE MARGARİN EKMEKÜSTÜ 250 GR ,2.7,0.08,Sana,Yağ,Türkiye,2020-01-01
646,647,SANA KASE MARGARİN EKMEKÜSTÜ 500 GR ,5.25,0.08,Sana,Yağ,Türkiye,2020-01-01
647,648,SANA KASE MARGARİN KLASİK 250 GR ,2.7,0.08,Sana,Yağ,Türkiye,2020-01-01
648,649,SANA KASE MARGARİN KLASİK 500 GR ,5.25,0.08,Sana,Yağ,Türkiye,2020-01-01
649,650,SANA KASE MARGARİN TEREYAĞI LEZZETİ 500 GR ,5.25,0.08,Sana,Yağ,Türkiye,2020-01-01
650,651,SANA PAKET MARGARİN HAMURİŞİ 250 GR ,2.4,0.08,Sana,Yağ,Türkiye,2020-01-01
651,652,SANA PAKET MARGARİN KLASİK 250 GR ,1.7,0.08,Sana,Yağ,Türkiye,2020-01-01
652,653,SANA PAKET MARGARİN KLASİK 500 GR ,9.99,0.08,Sana,Yağ,Türkiye,2020-01-01
653,654,SANA PAKET MARGARİN TEREYAĞI LEZZETİ 250 GR ,2.25,0.08,Sana,Yağ,Türkiye,2020-01-01
654,655,TEREM PAKET MARGARIN 4X250 G (4 AL 3ÖDE) ,6.95,0.08,Teremyağ,Yağ,Türkiye,2020-01-01
655,656,TEREMYAĞ GURME KASE MARGARİN 250 GR ,3.25,0.08,Teremyağ,Yağ,Türkiye,2020-01-01
656,657,TEREMYAĞ GURME KASE MARGARİN 500 GR ,6.75,0.08,Teremyağ,Yağ,Türkiye,2020-01-01
657,658,TEREMYAĞ GURME KAYMAKLI PAKET 250 G ,2.65,0.08,Teremyağ,Yağ,Türkiye,2020-01-01
658,659,TEREMYAĞ KASE MARGARİN 250 GR ,2.65,0.08,Teremyağ,Yağ,Türkiye,2020-01-01
659,660,TEREMYAĞ KASE MARGARİN 500 GR ,5.2,0.08,Teremyağ,Yağ,Türkiye,2020-01-01
660,661,TEREMYAĞ PAKET MARGARİN 250 GR ,1.95,0.08,Teremyağ,Yağ,Türkiye,2020-01-01
661,662,TEREMYAĞ PAKET MARGARİN 3X250 GR ,5.75,0.08,Teremyağ,Yağ,Türkiye,2020-01-01
662,663,YAYLA PAKET MARGARİN 250 GR ,1.75,0.08,Yayla,Yağ,Türkiye,2020-01-01
663,664,CP L BÜYÜK BOY YUMURTA 15'Lİ ( 63 - 72 GR ) ,5.99,0.08,CP,Yumurta,Türkiye,2020-01-01
664,665,CP L BÜYÜK BOY YUMURTA 30'LU ( 63 - 72 GR ) ,11.75,0.08,CP,Yumurta,Türkiye,2020-01-01
665,666,KESKİNOĞLU L - BÜYÜK BOY YUMURTA 10'LU ( 63 - 72 GR ) ,5.15,0.08,Keskinoğlu,Yumurta,Türkiye,2020-01-01
666,667,KESKİNOĞLU L BÜYÜK BOY YUMURTA 30'LU ( 63 - 72 GR ) ,9.95,0.08,Keskinoğlu,Yumurta,Türkiye,2020-01-01
667,668,KESKİNOĞLU M - ORTA BOY YUMURTA 6'LI ( 53 - 62 GR ) ,2.95,0.08,Keskinoğlu,Yumurta,Türkiye,2020-01-01
668,669,KESKİNOĞLU S - KÜÇÜK BOY YUMURTA 30'LU ( 52 GR VE ALTI GR ) ,7.95,0.08,Keskinoğlu,Yumurta,Türkiye,2020-01-01
669,670,ADRA GEMLİK SELE ZEYTİN 351-380 AD/KG ,22.9,0.08,adra,Zeytin,Türkiye,2020-01-01
670,671,ALYATTES ORGANİK SİYAH SELE ZEYTİN 231 - 290 ADET/KG ,31.9,0.08,alyattes,Zeytin,Türkiye,2020-01-01
671,672,ALYATTES ORGANİK SİYAH ZEYTİN 450 GR 231 - 290 ADET/KG ,17.9,0.08,alyattes,Zeytin,Türkiye,2020-01-01
672,673,CEM DİLİMLİ KAVANOZ SİYAH ZEYTİN 300 GR ,6.75,0.08,Cem,Zeytin,Türkiye,2020-01-01
673,674,CEM GEMLİK SELE SİYAH ZEYTİN 261 - 290 ADET/KG ,16.9,0.08,Cem,Zeytin,Türkiye,2020-01-01
674,675,CEM GEMLİK SELE ZEYTİN 201-230 AD/KG ,26.9,0.08,Cem,Zeytin,Türkiye,2020-01-01
675,676,CEM GEMLİK YAĞLI VAKUMLU SELE ZEYTİN 200 GR 351-380 ADET/KG ,3.75,0.08,Cem,Zeytin,Türkiye,2020-01-01
676,677,FORA AZ TUZLU ZEYTİN 231-290 AD/KG ,15.5,0.08,Fora,Zeytin,Türkiye,2020-01-01
677,678,FORA GEMLİK AZ TUZLU SİYAH ZEYTİN 800 GR 290-320 ADET/KG ,16.9,0.08,Fora,Zeytin,Türkiye,2020-01-01
678,679,FORA GEMLİK KURU SELE ZEYTİN 321-350 AD/KG 600 G ,14.9,0.08,Fora,Zeytin,Türkiye,2020-01-01
679,680,FORA GEMLİK SELE ZEYTİN 500 GR 351 - 380 ADET/KG ,12.5,0.08,Fora,Zeytin,Türkiye,2020-01-01
680,681,FORA GEMLİK TİPİ SİYAH ZEYTİN 291-320 AD/KG ,17.9,0.08,Fora,Zeytin,Türkiye,2020-01-01
681,682,FORA K.BİBER DOL.SİYAH ZEYTİN 181-230 AD/KG ,19.9,0.08,Fora,Zeytin,Türkiye,2020-01-01
682,683,FORA K.DOMATESLİ GEMLİK YAĞLI SELE ZEYTİN 351-380 ADET/KG ,27.9,0.08,Fora,Zeytin,Türkiye,2020-01-01
683,684,FORA LIGHT AZ TUZLU AZ YAĞLI ZEYTİN 400 GR ,7.95,0.08,Fora,Zeytin,Türkiye,2020-01-01
684,685,FORA SİYAH ZEYTİN DİLİMLİ 160 GR ,5.45,0.08,Fora,Zeytin,Türkiye,2020-01-01
685,686,GÜR DOĞAL SALAMURA SİYAH ZEYTİN 261-290 AD/KG ,21.9,0.08,Gür,Zeytin,Türkiye,2020-01-01
686,687,M LIFE ORGANİK SİYAH ZEYTİN 261 - 320 AD/KG 450 GR ,16.5,0.08,MLife,Zeytin,Türkiye,2020-01-01
687,688,M.BİRLİK KURU SELE ZEYTİN 351- 380 AD/KG 800 G ,18.95,0.08,Marmarabirlik,Zeytin,Türkiye,2020-01-01
688,689,MARMARA BİRLİK HİPER ZEYTİN 500 GR 231 - 260 ADET/KG ,12.9,0.08,Marmarabirlik,Zeytin,Türkiye,2020-01-01
689,690,MARMARABİRLİK EXTRA ZEYTİN 500 GR 321-350 ADET/KG ,9.45,0.08,Marmarabirlik,Zeytin,Türkiye,2020-01-01
690,691,MARMARABİRLİK GOLD TENEKE ZEYTİN 800 GR 201-230 ADET/KG ,26.5,0.08,Marmarabirlik,Zeytin,Türkiye,2020-01-01
691,692,MARMARABİRLİK HUSUSİ AZ TUZLU ZEYTİN 800 GR 291-320 ADET/KG ,13.95,0.08,Marmarabirlik,Zeytin,Türkiye,2020-01-01
